TrialRep,Model,AC,TransGen,Extinctions
16,ModelB,Auto,WaspTrans,2049
16,ModelB,Auto,FlyTrans,1224
17,ModelA,NoAuto,BothTrans,1506
17,ModelA,NoAuto,NoTrans,2314
17,ModelA,Auto,BothTrans,1510
17,ModelA,Auto,NoTrans,2108
17,ModelB,NoAuto,BothTrans,1489
17,ModelB,NoAuto,NoTrans,2307
17,ModelB,Auto,BothTrans,1508
17,ModelB,Auto,NoTrans,2102
17,ModelA,NoAuto,WaspTrans,2314
17,ModelA,NoAuto,FlyTrans,1506
17,ModelA,Auto,WaspTrans,2108
17,ModelA,Auto,FlyTrans,1510
17,ModelB,NoAuto,WaspTrans,2307
17,ModelB,NoAuto,FlyTrans,1506
17,ModelB,Auto,WaspTrans,2102
17,ModelB,Auto,FlyTrans,1508
18,ModelA,NoAuto,BothTrans,1469
18,ModelA,NoAuto,NoTrans,2338
18,ModelA,Auto,BothTrans,1108
18,ModelA,Auto,NoTrans,2208
18,ModelB,NoAuto,BothTrans,1469
18,ModelB,NoAuto,NoTrans,2338
18,ModelB,Auto,BothTrans,1103
18,ModelB,Auto,NoTrans,1981
18,ModelA,NoAuto,WaspTrans,2338
18,ModelA,NoAuto,FlyTrans,1469
18,ModelA,Auto,WaspTrans,2208
18,ModelA,Auto,FlyTrans,1108
18,ModelB,NoAuto,WaspTrans,2338
18,ModelB,NoAuto,FlyTrans,1469
18,ModelB,Auto,WaspTrans,1980
18,ModelB,Auto,FlyTrans,1103
19,ModelA,NoAuto,BothTrans,1579
19,ModelA,NoAuto,NoTrans,2302
19,ModelA,Auto,BothTrans,1582
19,ModelA,Auto,NoTrans,1904
19,ModelB,NoAuto,BothTrans,1579
19,ModelB,NoAuto,NoTrans,2302
19,ModelB,Auto,BothTrans,1382
19,ModelB,Auto,NoTrans,1904
19,ModelA,NoAuto,WaspTrans,2302
19,ModelA,NoAuto,FlyTrans,1579
19,ModelA,Auto,WaspTrans,1904
19,ModelA,Auto,FlyTrans,1582
19,ModelB,NoAuto,WaspTrans,2302
19,ModelB,NoAuto,FlyTrans,1579
19,ModelB,Auto,WaspTrans,1904
19,ModelB,Auto,FlyTrans,1382
20,ModelA,NoAuto,BothTrans,1506
20,ModelA,NoAuto,NoTrans,2374
20,ModelA,Auto,BothTrans,1522
20,ModelA,Auto,NoTrans,2045
20,ModelB,NoAuto,BothTrans,1496
20,ModelB,NoAuto,NoTrans,2374
